exporterISO,exporterName,importerISO,importerName,exp_2020,imp_2020,exp_2021,imp_2021,exp_2022,imp_2022,exp_2023,imp_2023,exp_2024,imp_2024
AGO,Angola,GMB,Gambia,0.0,3825.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,Angola,HKG,HKG,0.0,0.0,0.0,0.0,0.0,0.0,40.238,0.0,0.0,0.0
AGO,Angola,IND,India,0.0,0.0,0.0,0.0,109.591,0.0,0.0,0.0,0.0,0.0
AGO,Angola,ISL,Iceland,0.0,0.0,5.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,Angola,ITA,Italy,0.0,0.0,0.0,0.0,25.293,0.0,0.0,0.0,0.0,0.0
AGO,Angola,KIR,Kiribati,0.0,0.0,0.0,0.0,0.0,0.0,207.41,0.0,0.0,0.0
AGO,Angola,KWT,Kuwait,0.0,0.0,0.0,413.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,Angola,LBR,Liberia,0.0,0.0,7.076,0.0,0.0,0.0,57.808,0.0,3450.0,0.0
AGO,Angola,LUX,Luxembourg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6156.0,0.0
AGO,Angola,MDV,Maldives,0.0,0.0,0.0,0.0,0.0,0.0,2.739,0.0,0.0,0.0
AGO,Angola,MHL,Marshall Islands,0.0,0.0,0.0,0.0,0.0,0.0,597.802,0.0,0.0,0.0
AGO,Angola,MLT,Malta,101.87,0.0,0.0,0.0,1173.943,0.0,0.0,0.0,2930.0,0.0
AGO,Angola,NAM,Namibia,130675.256,30556.416,1385.539,22.735,3309.389,1555.74,56910.097,101439.752,180037.74,428413.779
AGO,Angola,NER,Niger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96981.117
AGO,Angola,NLD,Netherlands,0.0,0.0,0.0,117.091,0.0,287.482,0.0,704.987,0.0,330.126
AGO,Angola,NOR,Norway,0.0,0.0,0.0,0.0,0.0,0.0,2299.972,0.0,0.0,0.0
AGO,Angola,PAN,Panama,0.0,0.0,1.028,0.0,71.648,0.0,226.52,0.0,0.0,0.0
AGO,Angola,PRT,Portugal,0.0,0.0,0.0,0.0,15.902,105.888,11.794,220.579,6.11,0.0
AGO,Angola,SGP,Singapore,0.0,0.0,1.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,Angola,TUR,Türkiye,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,Angola,W00,World (All partners),336305.786,0.0,48701.778,0.0,194006.533,0.0,313757.848,0.0,549290.29,0.0
AGO,Angola,ZAF,South Africa,0.0,0.0,0.0,10.15,0.0,0.0,0.0,0.0,0.0,3.003
AGO,Angola,ZMB,Zambia,129.7,0.0,2272.566,0.0,0.0,0.0,0.0,378.21,40.0,0.0
AIA,AIA,CHL,Chile,0.0,1457.16,0.0,7602.54,0.0,9885.75,0.0,15825.44,0.0,5169.59
AIA,AIA,TON,Tonga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
ALB,Albania,AGO,Angola,0.0,0.0,0.0,0.0,0.0,4749.366,0.0,0.0,0.0,0.0
ALB,Albania,ARE,United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.882,0.0,0.0
ALB,Albania,BIH,Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,47259.678,0.0,0.0,0.0
ALB,Albania,CAN,Canada,0.0,0.0,987.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Albania,CHE,Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.403,0.0,0.0
ALB,Albania,DEU,Germany,268.983,0.0,5679.883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Albania,ESP,Spain,0.0,71.251,0.0,86.991,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Albania,GBR,United Kingdom of Great Britain and Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,17569.112,0.0,41639.404,30973.154
ALB,Albania,GRC,Greece,0.0,0.0,0.0,0.0,1711.722,0.0,0.0,0.0,91456.942,0.0
ALB,Albania,HUN,Hungary,0.0,0.0,0.0,0.0,21035.345,0.0,0.0,0.0,0.0,0.0
ALB,Albania,ITA,Italy,0.0,0.0,0.0,0.0,81641.879,0.0,88378.555,99686.479,2945.635,2570.654
ALB,Albania,MLT,Malta,0.0,0.0,0.0,0.0,10169.57,0.0,0.0,0.0,0.0,0.0
ALB,Albania,MNE,Montenegro,35981.441,0.0,20972.507,21415.391,101052.125,1432.588,4704.566,0.0,6705.683,0.0
ALB,Albania,MOZ,Mozambique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,0.0,0.0
ALB,Albania,RWA,Rwanda,0.0,0.0,334.341,0.0,0.0,2071.38,831.215,0.0,2069.819,0.0
ALB,Albania,SRB,Serbia,160724.264,0.0,15971.952,0.0,1811158.436,0.0,66425.931,0.0,65145.648,5412.0
ALB,Albania,USA,United States of America,0.0,0.0,13379.209,5003.0,10579.384,26305.0,31436.407,32149.0,56340.36,60133.0
ALB,Albania,W00,World (All partners),196974.689,0.0,57325.072,0.0,2037348.462,0.0,256605.466,0.0,266303.489,0.0
AND,Andorra,AGO,Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.78
AND,Andorra,ARM,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2425.27
AND,Andorra,AUT,Austria,0.0,5313.528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,Andorra,CHE,Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1727.544
AND,Andorra,FRA,France,0.0,0.0,0.0,0.0,0.0,31.591,0.0,0.0,0.0,0.0
AND,Andorra,GMB,Gambia,0.0,4969.593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,Andorra,KIR,Kiribati,0.0,0.0,0.0,61844.041,0.0,0.0,0.0,0.0,0.0,0.0
AND,Andorra,LKA,Sri Lanka,0.0,0.0,0.0,0.0,0.0,18.533,0.0,0.0,0.0,0.0
AND,Andorra,NAM,Namibia,0.0,31563.543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,Andorra,RWA,Rwanda,0.0,0.0,0.0,0.0,0.0,2036.69,0.0,0.0,0.0,0.0
AND,Andorra,SWZ,Eswatini,0.0,0.0,0.0,25254.89,0.0,0.0,0.0,0.0,0.0,0.0
ARE,United Arab Emirates,AFG,Afghanistan,645603.073,0.0,121133.598,0.0,127574.398,0.0,161746.416,0.0,0.0,0.0
ARE,United Arab Emirates,AGO,Angola,78417.646,365811.219,2100.653,791075.052,64348.807,417623.578,24647.907,14775.4,0.0,1608467.17
ARE,United Arab Emirates,ALB,Albania,0.0,0.0,269.816,0.0,2614.023,269381.119,0.0,0.0,0.0,0.0
ARE,United Arab Emirates,ARG,Argentina,384169.399,0.0,590385.007,0.0,903147.15,0.0,66449.283,0.0,0.0,0.0
ARE,United Arab Emirates,ARM,Armenia,120239.362,75.35,146510.781,60064.46,248826.463,574.18,244336.129,0.0,0.0,620.0
ARE,United Arab Emirates,AUS,Australia,10214.024,187817.84,187752.705,68378.411,2995.235,113688.833,1501906.406,114071.412,0.0,28818.028
ARE,United Arab Emirates,AUT,Austria,0.0,725.973,0.0,476.644,784.354,0.0,10673.928,0.0,0.0,0.0
ARE,United Arab Emirates,AZE,Azerbaijan,80819.77,1295.9,58009.793,360.26,222269.263,0.0,419703.079,647.87,0.0,746.05
ARE,United Arab Emirates,BDI,Burundi,8306.247,21055.456,9752.61,20222.718,42830.558,35892.093,32131.441,18428.47,0.0,0.0
ARE,United Arab Emirates,BEL,Belgium,0.0,0.0,0.0,439.719,0.0,0.0,0.0,7.439,0.0,73.667
ARE,United Arab Emirates,BEN,Benin,48710.964,36061268.938,74242.966,78019453.094,95707.281,44084988.508,78327.84,57465003.048,0.0,33466051.998
ARE,United Arab Emirates,BFA,Burkina Faso,30529.614,0.0,2927.161,0.0,0.0,0.0,20980.258,3791.803,0.0,17297.019
ARE,United Arab Emirates,BGD,Bangladesh,47185.635,0.0,42345.812,0.0,105323.67,0.0,23795.923,0.0,0.0,0.0
ARE,United Arab Emirates,BGR,Bulgaria,15988.756,7049.913,5027.91,2442.896,29161.878,8961.683,17094.894,33211.778,0.0,205.217
ARE,United Arab Emirates,BHR,Bahrain,6268345.341,1253145.67,7039838.556,922886.3,5870257.693,1714851.484,5155202.092,1306860.39,0.0,0.0
ARE,United Arab Emirates,BIH,Bosnia and Herzegovina,0.0,0.0,0.0,92.81,0.0,0.0,0.0,216.697,0.0,0.0
ARE,United Arab Emirates,BLZ,Belize,0.0,0.0,0.0,0.0,0.0,0.0,381.212,253.6,0.0,146.885
ARE,United Arab Emirates,BMU,BMU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.38
ARE,United Arab Emirates,BOL,Bolivia (Plurinational State of),0.0,0.0,0.0,0.0,369.985,0.0,0.0,0.0,0.0,0.0
ARE,United Arab Emirates,BRA,Brazil,0.0,0.0,1724170.68,0.0,2423586.045,0.0,872747.967,0.0,0.0,0.0
ARE,United Arab Emirates,BRN,Brunei Darussalam,1678.012,513.96,0.0,3.72,1579.306,5.801,0.0,0.0,0.0,0.0
ARE,United Arab Emirates,BTN,Bhutan,37630.228,14.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARE,United Arab Emirates,BWA,Botswana,0.0,24.717,0.0,148952.73,0.0,0.0,0.0,42282.002,0.0,0.0
ARE,United Arab Emirates,CAF,Central African Republic,0.0,0.0,4412.354,0.0,39833.143,6642.986,58981.412,0.0,0.0,45148.72
ARE,United Arab Emirates,CAN,Canada,3475158.625,216611.43,4933067.99,251646.711,1844020.806,31813.49,809793.17,600839.177,0.0,399291.207
ARE,United Arab Emirates,CHE,Switzerland,19566.373,26819.673,111.641,3859.079,0.0,37924.892,367.597,36831.397,0.0,4787.374
ARE,United Arab Emirates,CHL,Chile,1808.76,2217.9,0.0,0.0,108.918,0.0,54.459,0.0,0.0,4494.73
ARE,United Arab Emirates,CHN,China,72838.672,0.0,171170.86,0.0,316741.176,0.0,116675.016,0.0,0.0,0.0
ARE,United Arab Emirates,CIV,Côte d'Ivoire,19163.324,3405.2,4217.062,3191.649,6608.675,993773.085,6135.594,2201.714,0.0,1976.79
ARE,United Arab Emirates,CMR,Cameroon,5697.071,82360.64,11184.683,9091.41,34860.489,10238.709,23054.499,39763.307,0.0,0.0
ARE,United Arab Emirates,COD,"Congo, Democratic Republic of the",61102.989,217414.327,74150.555,26095.401,136286.637,12633.512,208468.4,57055.7,0.0,0.0
ARE,United Arab Emirates,COG,Congo,43818.58,55161.07,157175.244,72886.21,155265.384,167857.216,84476.27,90635.677,0.0,0.0
ARE,United Arab Emirates,COM,Comoros,80102.58,66266.841,130412.712,28650.56,623651.253,355567.363,25069.579,208333.839,0.0,0.0
ARE,United Arab Emirates,CPV,Cabo Verde,0.0,0.0,0.0,0.0,0.0,0.0,19.97,0.0,0.0,0.0
ARE,United Arab Emirates,CYP,Cyprus,0.0,2502.551,0.0,55.589,0.0,0.0,502.791,3644.957,0.0,0.0
ARE,United Arab Emirates,CZE,Czechia,70.402,72.0,0.0,0.0,133.138,189.0,0.0,0.0,0.0,0.0
ARE,United Arab Emirates,DEU,Germany,21379.321,16283.987,201778.742,0.0,393511.164,6.353,7728.095,11134.197,0.0,6527.213
ARE,United Arab Emirates,DJI,Djibouti,1910914.18,0.0,713349.077,15853977.55,2192229.009,16263281.906,3548737.521,11647445.084,0.0,0.0
ARE,United Arab Emirates,DNK,Denmark,54865.954,2.751,62889.311,9.384,121427.634,0.0,366.78,0.0,0.0,0.0
ARE,United Arab Emirates,DZA,Algeria,24589.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARE,United Arab Emirates,EGY,Egypt,40695.442,19.046,44456.519,381438.085,93384.586,231.471,75903.255,92.284,0.0,3384.868
ARE,United Arab Emirates,ERI,Eritrea,944003.103,0.0,914675.866,0.0,477046.358,0.0,433142.912,0.0,0.0,0.0
ARE,United Arab Emirates,ESP,Spain,272.885,1272.857,0.0,0.0,7289.04,0.0,2971.496,0.0,0.0,2921.853
ARE,United Arab Emirates,EST,Estonia,0.0,0.0,0.0,0.0,1625.111,0.0,0.0,0.0,0.0,0.0
