commodity,year,exporterISO,exporterName,importerISO,importerName,exp_A_to_B,imp_B_from_A,abs_gap,abs_vs_relative_x,abs_vs_relative_y,mismatch_pct,exp_to_imp_ratio,exp_to_imp_ratio_zero_inclusive,exp_to_imp_ratio_case,reverse_row_present,is_suspicious,reason,severity,source_file
ores_HS26,2020,IRN,Iran (Islamic Republic of),ESP,Spain,79282.0,3988753.0,3909471.0,3909471.0,50.310953305920634,98.0123612567637,0.019876387432362946,0.019876387432362946,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2023,BEL,Belgium,SVK,Slovakia,409.736,3909077.744,3908668.008,3908668.008,9540.479098736747,99.98951834609508,0.0001048165390491144,0.0001048165390491144,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2021,BEL,Belgium,KAZ,Kazakhstan,0.0,3908642.66,3908642.66,3908642.66,1.0,100.0,0.0,0.0,finite,True,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2024,ROU,Romania,AUT,Austria,209693.4,4117436.07,3907742.67,3907742.67,19.635506267722302,94.90718504343408,0.05092814956565919,0.05092814956565919,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2022,ZAF,South Africa,THA,Thailand,5378462.101,1477815.436,3900646.665,3900646.665,3.639468075633228,72.5234572959948,3.639468075633228,3.639468075633228,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2023,POL,Poland,ITA,Italy,6898842.0,3003400.0,3895442.0,3895442.0,2.2970107211826596,56.465157485850526,2.2970107211826596,2.2970107211826596,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2021,POL,Poland,DEU,Germany,22070735.0,18175638.0,3895097.0,3895097.0,1.2143031787935037,17.64824325062124,1.2143031787935037,1.2143031787935037,finite,True,True,high_abs_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2022,COD,"Congo, Democratic Republic of the",BEL,Belgium,3893534.929,0.0,3893534.929,3893534.929,1.0,100.0,inf,inf,positive_over_zero_or_missing,True,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2022,NOR,Norway,EST,Estonia,4937874.139,1054252.455,3883621.6840000004,3883621.6840000004,4.683768214701478,78.64966936533739,4.683768214701478,4.683768214701478,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2023,MAR,Morocco,TUR,Türkiye,4641974.372,761224.957,3880749.4150000005,3880749.4150000005,6.0980322955964255,83.6012675642579,6.0980322955964255,6.0980322955964255,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2022,JPN,Japan,DEU,Germany,711705.856,4587981.062,3876275.206,3876275.206,6.446456809820038,84.48760257764116,0.15512397422358848,0.15512397422358848,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2020,NAM,Namibia,THA,Thailand,3872741.291,0.0,3872741.291,3872741.291,1.0,100.0,inf,inf,positive_over_zero_or_missing,False,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2020,KOR,"Korea, Republic of",MYS,Malaysia,321195.0,4193407.0,3872212.0,3872212.0,13.055642211117856,92.34047637159951,0.07659523628400487,0.07659523628400487,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2024,BGR,Bulgaria,AUS,Australia,0.0,3870231.033,3870231.033,3870231.033,1.0,100.0,0.0,0.0,finite,True,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2024,TUR,Türkiye,NLD,Netherlands,5362209.0,1492252.0,3869957.0,3869957.0,3.593366938023873,72.17094671244631,3.593366938023873,3.593366938023873,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2024,ZAF,South Africa,CHE,Switzerland,3867644.411,47.714,3867596.6969999997,3867596.6969999997,81058.901182043,99.99876632919343,81058.901182043,81058.901182043,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2022,CIV,Côte d'Ivoire,EST,Estonia,3864234.036,0.0,3864234.036,3864234.036,1.0,100.0,inf,inf,positive_over_zero_or_missing,False,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2020,USA,United States of America,CHE,Switzerland,7409324.0,11272598.0,3863274.0,3863274.0,1.5214070811318279,34.27137204750848,0.6572862795249153,0.6572862795249153,finite,True,True,high_abs_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2022,GEO,Georgia,KOR,"Korea, Republic of",3861365.62,0.0,3861365.62,3861365.62,1.0,100.0,inf,inf,positive_over_zero_or_missing,False,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2024,PER,Peru,ITA,Italy,4028593.5,172091.214,3856502.286,3856502.286,23.409640773409848,95.72825568030132,23.409640773409848,23.409640773409848,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2022,JAM,Jamaica,CHN,China,3856033.17,0.0,3856033.17,3856033.17,1.0,100.0,inf,inf,positive_over_zero_or_missing,False,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2021,HRV,Croatia,ITA,Italy,1229227.0,5076244.0,3847017.0,3847017.0,4.129622925627244,75.7847140523584,0.24215285947641602,0.24215285947641602,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2023,ALB,Albania,CHE,Switzerland,3845481.809,0.0,3845481.809,3845481.809,1.0,100.0,inf,inf,positive_over_zero_or_missing,False,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2020,HUN,Hungary,BIH,Bosnia and Herzegovina,0.0,3835527.0,3835527.0,3835527.0,1.0,100.0,0.0,0.0,finite,True,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2020,PRT,Portugal,CHN,China,4849254.797,1022403.626,3826851.171,3826851.171,4.7429945216176295,78.9162733492059,4.7429945216176295,4.7429945216176295,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2024,AUT,Austria,ROU,Romania,3821879.992,0.0,3821879.992,3821879.992,1.0,100.0,inf,inf,positive_over_zero_or_missing,True,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2023,BOL,Bolivia (Plurinational State of),NLD,Netherlands,3820557.61,0.0,3820557.61,3820557.61,1.0,100.0,inf,inf,positive_over_zero_or_missing,True,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2024,PAK,Pakistan,KOR,"Korea, Republic of",3820541.344,0.0,3820541.344,3820541.344,1.0,100.0,inf,inf,positive_over_zero_or_missing,False,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2023,JPN,Japan,FRA,France,3812421.943,3665.708,3808756.235,3808756.235,1040.0233578342848,99.90384831336073,1040.0233578342848,1040.0233578342848,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2021,UKR,Ukraine,KAZ,Kazakhstan,4787838.95,979275.47,3808563.4800000004,3808563.4800000004,4.889164588182731,79.54660797435554,4.889164588182731,4.889164588182731,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2022,ZAF,South Africa,KHM,Cambodia,3806880.418,0.0,3806880.418,3806880.418,1.0,100.0,inf,inf,positive_over_zero_or_missing,False,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2023,CHN,China,DEU,Germany,10774232.0,6970194.0,3804038.0,3804038.0,1.5457578368693898,35.306813515803256,1.5457578368693898,1.5457578368693898,finite,True,True,high_abs_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2022,GTM,Guatemala,KOR,"Korea, Republic of",3803750.0,0.0,3803750.0,3803750.0,1.0,100.0,inf,inf,positive_over_zero_or_missing,False,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2023,ESP,Spain,THA,Thailand,3811340.652,8212.397,3803128.255,3803128.255,464.09600656178696,99.78452734221774,464.09600656178696,464.09600656178696,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2022,BOL,Bolivia (Plurinational State of),GBR,United Kingdom of Great Britain and Northern Ireland,3801434.88,0.0,3801434.88,3801434.88,1.0,100.0,inf,inf,positive_over_zero_or_missing,True,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2024,POL,Poland,ITA,Italy,6752681.0,2953097.0,3799584.0,3799584.0,2.286643818337156,56.267784602885875,2.286643818337156,2.286643818337156,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2020,GBR,United Kingdom of Great Britain and Northern Ireland,CHN,China,1329006.03,5126837.013,3797830.983,3797830.983,3.8576476684609173,74.07746673767723,0.25922533262322767,0.25922533262322767,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2021,NAM,Namibia,SGP,Singapore,3788417.308,0.0,3788417.308,3788417.308,1.0,100.0,inf,inf,positive_over_zero_or_missing,False,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2020,CHL,Chile,VNM,Viet Nam,3784121.7,0.0,3784121.7,3784121.7,1.0,100.0,inf,inf,positive_over_zero_or_missing,True,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2023,HUN,Hungary,AUT,Austria,6195851.0,2414518.0,3781333.0,3781333.0,2.5660819260821413,61.03008287320014,2.5660819260821413,2.5660819260821413,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2022,FIN,Finland,NOR,Norway,422280.925,4200954.279,3778673.3540000003,3778673.3540000003,9.94824542216772,89.94797617505802,0.1005202382494199,0.1005202382494199,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2020,CUB,Cuba,NLD,Netherlands,3776173.15,0.0,3776173.15,3776173.15,1.0,100.0,inf,inf,positive_over_zero_or_missing,True,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2021,GAB,Gabon,MYS,Malaysia,3774918.087,0.0,3774918.087,3774918.087,1.0,100.0,inf,inf,positive_over_zero_or_missing,False,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2024,AUT,Austria,CHN,China,704.63,3774368.902,3773664.272,3773664.272,5356.52598101131,99.98133118361518,0.00018668816384816644,0.00018668816384816644,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2022,MAR,Morocco,BEL,Belgium,3862572.597,99377.596,3763195.001,3763195.001,38.867639714287314,97.42716561296,38.867639714287314,38.867639714287314,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2020,VNM,Viet Nam,LAO,Lao People's Democratic Republic,14059017.188,17820224.959,3761207.7709999997,3761207.7709999997,1.2675299219500464,21.106398935218966,0.7889360106478104,0.7889360106478104,finite,True,True,high_abs_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2024,FRA,France,PRT,Portugal,397659.004,4158780.652,3761121.6479999996,3761121.6479999996,10.458157894495958,90.4380866105847,0.09561913389415279,0.09561913389415279,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
