exporterISO,importerISO,exp_2020,imp_2020,exp_2021,imp_2021,exp_2022,imp_2022,exp_2023,imp_2023,exp_2024,imp_2024
AUT,TUN,19806366.818,23633454.009999998,33127639.459,34440502.98,28464516.290999997,27078155.873,38760210.271,29821994.056999996,43156988.674,0.0
AUT,TUR,428984072.46099997,381561241.0,476618975.15,507726445.0,494002146.44799995,495260294.0,613195083.296,551699942.0,566396373.862,546111471.0
AUT,TUV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23148.871,0.0
AUT,TZA,2863603.211,1854182.7200000002,5486763.049,1956210.0,4887487.227,2648198.71,9079361.782,6594436.869999999,9599227.489,11610382.148
AUT,UGA,2986199.7109999997,1884269.0,2986833.2419999996,1016877.7999999999,3071718.6339999996,1273983.58,2343216.145,1256137.96,5089423.277,2391085.93
AUT,UKR,124279964.353,135131126.69,155394664.431,166845784.5,98875792.61,93824573.63,86618248.23,99287904.75999999,163824947.919,194112239.4
AUT,URY,7295982.947000001,3188459.61,10855906.123,8997108.47,18720363.516,8930653.68,36985807.377000004,10858002.620000001,18099971.945,7192636.0
AUT,USA,3475229118.451,3512258767.0,4457040274.34,4533303640.0,5043184333.895,5454885632.0,5840313151.95,6279332559.0,6226755614.53,6416816092.0
AUT,UZB,32148834.116,35004795.940000005,40869842.153000005,29800924.96,61715948.398,47632263.24,80683430.766,96078850.55000001,73316521.154,71794916.67999999
AUT,VAT,0.0,0.0,1212.309,0.0,2791.632,0.0,0.0,0.0,0.0,0.0
AUT,VCT,388420.696,141997.9,95461.33600000001,45287.691999999995,42792.737,78112.852,7900.83,27858.157,533455.539,0.0
AUT,VEN,905229.025,0.0,3628712.321,0.0,1648687.686,0.0,1436562.676,0.0,2676830.786,0.0
AUT,VGB,39450.093,0.0,14811.457,0.0,32856.17,0.0,80752.385,0.0,116477.126,0.0
AUT,VNM,108829448.159,79068526.07100001,57642212.708,75076438.718,77751149.531,88437421.08,71114892.24700001,101467095.086,83007244.42899999,0.0
AUT,VUT,247911.44999999998,0.0,29984.832,0.0,108555.624,0.0,10795.386,0.0,62891.717,0.0
AUT,W00,43500902735.147,0.0,50549530289.219,0.0,51898572722.677,0.0,57486933469.356,0.0,54147746313.188995,0.0
AUT,WLF,0.0,0.0,24392.836,0.0,0.0,0.0,162.19,0.0,0.0,0.0
AUT,WSM,0.0,0.0,75120.568,17043.985,0.0,0.0,2324.728,0.0,20086.817,1146.794
AUT,XX ,87067522.734,0.0,0.0,0.0,0.0,0.0,63967478.522,0.0,0.0,0.0
AUT,YEM,2770995.364,0.0,3614602.23,0.0,707205.3459999999,0.0,957948.852,0.0,822508.489,0.0
AUT,ZAF,282417434.971,115128563.464,380058733.938,129913406.31099999,353473790.322,136499553.51,435015744.66899997,143207064.027,348286587.66700006,147404227.561
AUT,ZMB,1055340.2619999999,1023550.212,569265.9210000001,1070986.774,403883.113,1348129.3809999998,508446.02499999997,685397.515,3377370.149,1680088.171
AUT,ZWE,648137.235,334124.78,962780.18,442995.3,513185.348,788485.48,1224378.847,4451109.7299999995,714142.721,630595.17
AUT,_X ,0.0,0.0,0.0,0.0,2509.415,0.0,33150.615,0.0,203279.709,0.0
AZE,AFG,8664.4,0.0,0.0,0.0,17659.0,0.0,12005.88,0.0,0.0,0.0
AZE,AGO,3973.33,107022.62400000001,40625.73,153402.383,86040.48000000001,118868.309,54128.24,147183.244,3598.01,224823.02
AZE,ALB,0.0,19027.701,22334.97,0.0,0.0,83351.816,104678.14,136543.54,152341.28,86418.878
AZE,ARE,1042380.9,88208.19200000001,793056.2799999999,59421.528,3369532.6599999997,21450.037,2962631.89,106644.58200000001,2447781.14,0.0
AZE,ARG,2229.44,0.0,1868.84,7599.889999999999,1446.03,3229.2000000000003,0.0,29.58,3425.0,161.13
AZE,AUS,25940.74,0.0,102055.48,167104.443,8291.630000000001,1717.064,283968.66000000003,185624.32799999998,18239.19,146845.61899999998
AZE,AUT,32002.920000000002,43413.405,40354.72,103625.792,9831.8,92785.16799999999,12957.46,27017.659,20095.55,251966.265
AZE,AZE,0.0,256425.04,0.0,1323762.39,0.0,0.0,0.0,560276.0,0.0,1996576.3599999999
AZE,BDI,0.0,0.0,0.0,0.0,0.0,233.42100000000002,0.0,0.0,0.0,0.0
AZE,BEL,532187.6,5253.713,88560.73000000001,19173.321,1046074.6799999999,17755.042,630186.0900000001,35869.367,530908.14,25329.207
AZE,BFA,0.0,0.0,0.0,11179.459,0.0,0.0,0.0,351.96,0.0,3263.374
AZE,BGD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,0.0
AZE,BGR,0.0,0.0,666701.94,2686849.143,1100.0,4972.739,812.06,49890.913,4662.86,4640.893
AZE,BHR,0.0,0.0,0.0,774.521,0.0,0.0,18167.47,0.0,0.0,0.0
AZE,BIH,0.0,9.13,0.0,0.0,0.0,0.0,0.0,261.68,0.0,341.627
AZE,BLR,834565.97,697800.0,91682.55,29000.0,3037452.4699999997,0.0,7498483.34,0.0,216721.23,0.0
AZE,BOL,9984.97,0.0,0.0,60.06,271.0,0.0,0.0,8.0,0.0,114.0
AZE,BRA,73754.72,253.0,143232.8,13787.0,12136.64,387.0,60336.98,6607.0,12479.34,0.0
AZE,BRN,3287.64,0.0,360.59,552.35,5872.56,58.015,0.0,0.0,143071.59,0.0
AZE,BWA,0.0,5501.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,CAN,166298.21,97496.729,156296.25,129129.90000000001,46987.83,91625.801,335710.75,104767.09,118290.6,118009.562
AZE,CHE,313621.54000000004,108187.112,266684.95,216495.76,79111.52,176880.204,37231.229999999996,2125489.269,102401.27,2159427.325
AZE,CHL,0.0,0.0,0.0,97.92,0.0,9399.619999999999,0.0,111.84,0.0,48.02
AZE,CHN,284786.36,341337.0,188778.97999999998,127822.0,260135.1,4439.0,1626570.79,0.0,271800.54,0.0
AZE,CIV,0.0,0.0,0.0,2639.04,0.0,0.0,1000.0,569.807,0.0,0.0
AZE,CMR,0.0,0.0,18549.25,0.0,0.0,11323.773,14062.88,0.0,0.0,0.0
AZE,COD,0.0,24502.335,41290.51,48.572,0.0,0.0,0.0,360.68,0.0,0.0
AZE,COG,2239965.92,0.0,0.0,5880.19,0.0,126.103,462.92,3279.453,0.0,0.0
AZE,COL,11617.17,0.0,3857.1600000000003,0.0,24549.07,18.46,5794.15,97.02,150.0,10181.43
AZE,COM,0.0,168.604,0.0,154.297,0.0,0.0,0.0,0.0,0.0,0.0
AZE,CRI,0.0,0.0,0.0,0.0,0.0,2962.59,0.0,2097.43,0.0,28.62
AZE,CUB,0.0,0.0,10160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,CYP,0.0,0.0,3000.0,0.0,0.0,9.477,0.0,0.0,26862.45,5.412
AZE,CZE,2314464.1300000004,17079.0,138136.62,625091.0,206537.29,128667.0,231420.21,233013.0,4573058.149999999,391587.0
AZE,DEU,271371.18,822513.3169999999,460041.80000000005,2346887.432,1183795.6,1219908.153,866571.3500000001,1052105.324,3130898.34,1146659.224
AZE,DJI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.167,0.0,0.0
AZE,DNK,14886.54,5333309.688,746062.9,12106.352,68009.36,294528.506,311349.9,268604.035,107638.91,116400.632
AZE,DOM,0.0,0.0,0.0,0.0,0.0,51.003,0.0,0.0,0.0,0.0
AZE,DZA,8804.86,0.0,2470.32,0.0,0.0,0.0,264552.19,0.0,0.0,0.0
AZE,ECU,8323.48,0.0,8981.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,EGY,8024.01,3637.089,660894.97,151.256,94265.27,0.0,93982.86,981.725,1005082.6799999999,8892.238
AZE,ESP,15763.42,368.388,79114.62,5077.966,7349.8,49216.997,312679.06,29276.581,7863.789999999999,43495.499
AZE,EST,0.0,0.0,0.0,3169.85,12311.55,2050.49,11985.61,4055.26,14401.03,29681.469999999998
AZE,ETH,0.0,7052.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,FIN,0.0,1231.287,220.76,14325.351,5079.0,15745.183,55887.1,21465.345,1131.54,3000.066
AZE,FRA,3342289.35,103059.20300000001,650487.79,804501.141,3968247.53,719753.473,7169405.99,256340.677,3230056.8600000003,38527.332
AZE,GAB,0.0,0.0,1337.0,458.55,3319.75,0.0,0.0,0.0,8320.0,0.0
AZE,GBR,3509616.27,1214767.767,6872016.75,316197.338,7908895.15,142245.477,6364091.91,610624.287,3320261.52,696649.2880000001
AZE,GEO,14802702.510000002,15372660.2,5284931.4399999995,7542874.15,10139298.14,12214166.347,11841454.84,10310134.243999999,10740474.15,11540624.758
AZE,GHA,4371.45,0.0,38412.14,2836.614,17381.06,2776.505,150.0,371.643,123.0,0.0
AZE,GNQ,0.0,0.0,0.0,0.0,7717.77,0.0,0.0,0.0,189584.86,0.0
AZE,GRC,80.0,0.0,0.0,0.0,0.0,0.0,5225.73,3272202.136,27.0,0.0
AZE,GTM,0.0,0.0,0.0,0.0,0.0,3463.0,0.0,154.0,0.0,247.0
